Grupo,Fecha,Hora_UTC,Equipo_1,Equipo_2,Sede
A,2026-06-11,13:00 UTC-6,Mexico,South Africa,Mexico City
A,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Guadalajara
A,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Atlanta
A,2026-06-18,19:00 UTC-6,Mexico,South Korea,Guadalajara
A,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,Mexico City
A,2026-06-24,19:00 UTC-6,South Africa,South Korea,Monterrey
B,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,Toronto
B,2026-06-13,12:00 UTC-7,Qatar,Switzerland,San Francisco Bay Area
B,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,Los Angeles
B,2026-06-18,15:00 UTC-7,Canada,Qatar,Vancouver
B,2026-06-24,12:00 UTC-7,Switzerland,Canada,Vancouver
B,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,Seattle
C,2026-06-13,18:00 UTC-4,Brazil,Morocco,New York/New Jersey
C,2026-06-13,21:00 UTC-4,Haiti,Scotland,Boston
C,2026-06-19,18:00 UTC-4,Scotland,Morocco,Boston
C,2026-06-19,21:00 UTC-4,Brazil,Haiti,Philadelphia
C,2026-06-24,18:00 UTC-4,Scotland,Brazil,Miami
C,2026-06-24,18:00 UTC-4,Morocco,Haiti,Atlanta
D,2026-06-12,18:00 UTC-7,USA,Paraguay,Los Angeles
D,2026-06-13,21:00 UTC-7,Australia,Turkey,Vancouver
D,2026-06-19,12:00 UTC-7,USA,Australia,Seattle
D,2026-06-19,21:00 UTC-7,Turkey,Paraguay,San Francisco Bay Area
D,2026-06-25,19:00 UTC-7,Turkey,USA,Los Angeles
D,2026-06-25,19:00 UTC-7,Paraguay,Australia,San Francisco Bay Area
E,2026-06-14,12:00 UTC-5,Germany,Curaçao,Houston
E,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,Philadelphia
E,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,Toronto
E,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Kansas City
E,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,Philadelphia
E,2026-06-25,16:00 UTC-4,Ecuador,Germany,New York/New Jersey
F,2026-06-14,15:00 UTC-5,Netherlands,Japan,Dallas
F,2026-06-14,20:00 UTC-6,Sweden,Tunisia,Monterrey
F,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Houston
F,2026-06-20,22:00 UTC-6,Tunisia,Japan,Monterrey
F,2026-06-25,18:00 UTC-5,Japan,Sweden,Dallas
F,2026-06-25,18:00 UTC-5,Tunisia,Netherlands,Kansas City
G,2026-06-15,12:00 UTC-7,Belgium,Egypt,Seattle
G,2026-06-15,18:00 UTC-7,Iran,New Zealand,Los Angeles
G,2026-06-21,12:00 UTC-7,Belgium,Iran,Los Angeles
G,2026-06-21,18:00 UTC-7,New Zealand,Egypt,Vancouver
G,2026-06-26,20:00 UTC-7,Egypt,Iran,Seattle
G,2026-06-26,20:00 UTC-7,New Zealand,Belgium,Vancouver
H,2026-06-15,12:00 UTC-4,Spain,Cape Verde,Atlanta
H,2026-06-15,18:00 UTC-4,Saudi Arabia,Uruguay,Miami
H,2026-06-21,12:00 UTC-4,Spain,Saudi Arabia,Atlanta
H,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Miami
H,2026-06-26,19:00 UTC-5,Cape Verde,Saudi Arabia,Houston
H,2026-06-26,18:00 UTC-6,Uruguay,Spain,Guadalajara
I,2026-06-16,15:00 UTC-4,France,Senegal,New York/New Jersey
I,2026-06-16,18:00 UTC-4,Iraq,Norway,Boston
I,2026-06-22,17:00 UTC-4,France,Iraq,Philadelphia
I,2026-06-22,20:00 UTC-4,Norway,Senegal,New York/New Jersey
I,2026-06-26,15:00 UTC-4,Norway,France,Boston
I,2026-06-26,15:00 UTC-4,Senegal,Iraq,Toronto
J,2026-06-16,20:00 UTC-5,Argentina,Algeria,Kansas City
J,2026-06-16,21:00 UTC-7,Austria,Jordan,San Francisco Bay Area
J,2026-06-22,12:00 UTC-5,Argentina,Austria,Dallas
J,2026-06-22,20:00 UTC-7,Jordan,Algeria,San Francisco Bay Area
J,2026-06-27,21:00 UTC-5,Algeria,Austria,Kansas City
J,2026-06-27,21:00 UTC-5,Jordan,Argentina,Dallas
K,2026-06-17,12:00 UTC-5,Portugal,DR Congo,Houston
K,2026-06-17,20:00 UTC-6,Uzbekistan,Colombia,Mexico City
K,2026-06-23,12:00 UTC-5,Portugal,Uzbekistan,Houston
K,2026-06-23,20:00 UTC-6,Colombia,DR Congo,Guadalajara
K,2026-06-27,19:30 UTC-4,Colombia,Portugal,Miami
K,2026-06-27,19:30 UTC-4,DR Congo,Uzbekistan,Atlanta
L,2026-06-17,15:00 UTC-5,England,Croatia,Dallas
L,2026-06-17,19:00 UTC-4,Ghana,Panama,Toronto
L,2026-06-23,16:00 UTC-4,England,Ghana,Boston
L,2026-06-23,19:00 UTC-4,Panama,Croatia,Toronto
L,2026-06-27,17:00 UTC-4,Panama,England,New York/New Jersey
L,2026-06-27,17:00 UTC-4,Croatia,Ghana,Philadelphia
