rank,pais,codigo_pais,confederacion,puntos,puntos_previos,posicion_previa,movimiento,partidos,fecha_publicacion,proxima_publicacion
116,The Gambia,GAM,CAF,1160.38,1161.55,116,0,37,2026-04-01T13:00:00+00:00,
117,Sudan,SDN,CAF,1157.22,1157.22,117,0,49,2026-04-01T13:00:00+00:00,
118,Korea DPR,PRK,AFC,1151.05,1151.05,119,1,17,2026-04-01T13:00:00+00:00,
119,Sierra Leone,SLE,CAF,1148.98,1149.1,120,1,33,2026-04-01T13:00:00+00:00,
120,Namibia,NAM,CAF,1148.84,1153.22,118,-2,41,2026-04-01T13:00:00+00:00,
121,Togo,TOG,CAF,1147.31,1140.35,124,3,34,2026-04-01T13:00:00+00:00,
122,Indonesia,IDN,AFC,1144.88,1144.73,122,0,50,2026-04-01T13:00:00+00:00,
123,Faroe Islands,FRO,UEFA,1137.14,1135.42,125,2,39,2026-04-01T13:00:00+00:00,
124,Azerbaijan,AZE,UEFA,1136.67,1132.97,127,3,39,2026-04-01T13:00:00+00:00,
125,Suriname,SUR,CONCACAF,1132.43,1140.54,123,-2,29,2026-04-01T13:00:00+00:00,
126,Cyprus,CYP,UEFA,1128.33,1128.5,128,2,40,2026-04-01T13:00:00+00:00,
127,Malawi,MWI,CAF,1128.03,1133.75,126,-1,41,2026-04-01T13:00:00+00:00,
128,Rwanda,RWA,CAF,1126.62,1117.78,130,2,34,2026-04-01T13:00:00+00:00,
129,Estonia,EST,UEFA,1121.1,1123.11,129,0,44,2026-04-01T13:00:00+00:00,
130,Zimbabwe,ZIM,CAF,1118.12,1113.61,132,2,30,2026-04-01T13:00:00+00:00,
131,Nicaragua,NCA,CONCACAF,1115.13,1116.86,131,0,36,2026-04-01T13:00:00+00:00,
132,Guinea-Bissau,GNB,CAF,1108.38,1108.09,133,1,41,2026-04-01T13:00:00+00:00,
133,Congo,CGO,CAF,1105.96,1105.96,134,1,31,2026-04-01T13:00:00+00:00,
134,Kuwait,KUW,AFC,1105.1,1105.1,135,1,51,2026-04-01T13:00:00+00:00,
135,Philippines,PHI,AFC,1094.1,1090.95,136,1,39,2026-04-01T13:00:00+00:00,
