fase,match_id,grupo,fecha,equipo_1,equipo_2,goles_1,goles_2,ganador,metodo,slot_1,slot_2,sede
GRUPOS,,J,2026-06-22,Argentina,Austria,1,0,Argentina,90min,Argentina,Austria,Dallas
GRUPOS,,J,2026-06-22,Jordan,Algeria,1,2,Algeria,90min,Jordan,Algeria,San Francisco Bay Area
GRUPOS,,J,2026-06-27,Algeria,Austria,0,0,,90min,Algeria,Austria,Kansas City
GRUPOS,,J,2026-06-27,Jordan,Argentina,1,4,Argentina,90min,Jordan,Argentina,Dallas
GRUPOS,,K,2026-06-17,Portugal,DR Congo,2,0,Portugal,90min,Portugal,DR Congo,Houston
GRUPOS,,K,2026-06-17,Uzbekistan,Colombia,1,2,Colombia,90min,Uzbekistan,Colombia,Mexico City
GRUPOS,,K,2026-06-23,Portugal,Uzbekistan,2,0,Portugal,90min,Portugal,Uzbekistan,Houston
GRUPOS,,K,2026-06-23,Colombia,DR Congo,3,4,DR Congo,90min,Colombia,DR Congo,Guadalajara
GRUPOS,,K,2026-06-27,Colombia,Portugal,0,0,,90min,Colombia,Portugal,Miami
GRUPOS,,K,2026-06-27,DR Congo,Uzbekistan,1,2,Uzbekistan,90min,DR Congo,Uzbekistan,Atlanta
GRUPOS,,L,2026-06-17,England,Croatia,1,1,,90min,England,Croatia,Dallas
GRUPOS,,L,2026-06-17,Ghana,Panama,1,0,Ghana,90min,Ghana,Panama,Toronto
GRUPOS,,L,2026-06-23,England,Ghana,3,0,England,90min,England,Ghana,Boston
GRUPOS,,L,2026-06-23,Panama,Croatia,0,4,Croatia,90min,Panama,Croatia,Toronto
GRUPOS,,L,2026-06-27,Panama,England,0,2,England,90min,Panama,England,New York/New Jersey
GRUPOS,,L,2026-06-27,Croatia,Ghana,3,0,Croatia,90min,Croatia,Ghana,Philadelphia
R32,73,,2026-06-28,Mexico,Switzerland,3,2,Mexico,90min,2A,2B,Los Angeles (Inglewood)
R32,74,,2026-06-29,Germany,Canada,3,1,Germany,90min,1E,3A/B/C/D/F,Boston (Foxborough)
R32,75,,2026-06-29,Netherlands,Morocco,2,0,Netherlands,90min,1F,2C,Monterrey (Guadalupe)
R32,76,,2026-06-29,Brazil,Tunisia,1,0,Brazil,90min,1C,2F,Houston
R32,77,,2026-06-30,Senegal,Scotland,3,2,Senegal,90min,1I,3C/D/F/G/H,New York/New Jersey (East Rutherford)
R32,78,,2026-06-30,Ecuador,France,0,3,France,90min,2E,2I,Dallas (Arlington)
R32,79,,2026-06-30,South Korea,Ivory Coast,1,3,Ivory Coast,90min,1A,3C/E/F/H/I,Mexico City
R32,80,,2026-07-01,Croatia,DR Congo,3,0,Croatia,90min,1L,3E/H/I/J/K,Atlanta
R32,81,,2026-07-01,United States,Japan,3,4,Japan,90min,1D,3B/E/F/I/J,San Francisco Bay Area (Santa Clara)
R32,82,,2026-07-01,Belgium,Austria,2,0,Belgium,90min,1G,3A/E/H/I/J,Seattle
R32,83,,2026-07-02,Colombia,England,0,2,England,90min,2K,2L,Toronto
R32,84,,2026-07-02,Spain,Argentina,2,1,Spain,90min,1H,2J,Los Angeles (Inglewood)
R32,85,,2026-07-02,Qatar,Iran,3,1,Qatar,90min,1B,3E/F/G/I/J,Vancouver
R32,86,,2026-07-03,Algeria,Uruguay,0,1,Uruguay,90min,1J,2H,Miami (Miami Gardens)
R32,87,,2026-07-03,Portugal,Ghana,2,1,Portugal,90min,1K,3D/E/I/J/L,Kansas City
R32,88,,2026-07-03,Paraguay,Egypt,1,2,Egypt,90min,2D,2G,Dallas (Arlington)
R16,89,,2026-07-04,Germany,Senegal,2,1,Germany,90min,W74,W77,Philadelphia
R16,90,,2026-07-04,Mexico,Netherlands,0,1,Netherlands,90min,W73,W75,Houston
R16,91,,2026-07-05,Brazil,France,4,3,Brazil,90min,W76,W78,New York/New Jersey (East Rutherford)
R16,92,,2026-07-05,Ivory Coast,Croatia,0,5,Croatia,90min,W79,W80,Mexico City
R16,93,,2026-07-06,England,Spain,1,0,England,90min,W83,W84,Dallas (Arlington)
R16,94,,2026-07-06,Japan,Belgium,2,1,Japan,90min,W81,W82,Seattle
R16,95,,2026-07-07,Uruguay,Egypt,1,2,Egypt,90min,W86,W88,Atlanta
R16,96,,2026-07-07,Qatar,Portugal,1,2,Portugal,90min,W85,W87,Vancouver
QF,97,,2026-07-09,Germany,Netherlands,1,0,Germany,90min,W89,W90,Boston (Foxborough)
QF,98,,2026-07-10,England,Japan,4,0,England,90min,W93,W94,Los Angeles (Inglewood)
QF,99,,2026-07-11,Brazil,Croatia,1,2,Croatia,90min,W91,W92,Miami (Miami Gardens)
QF,100,,2026-07-11,Egypt,Portugal,2,3,Portugal,90min,W95,W96,Kansas City
SF,101,,2026-07-14,Germany,England,2,1,Germany,90min,W97,W98,Dallas (Arlington)
SF,102,,2026-07-15,Croatia,Portugal,1,2,Portugal,90min,W99,W100,Atlanta
F,103,,2026-07-19,Germany,Portugal,1,0,Germany,90min,W101,W102,New York/New Jersey (East Rutherford)
