Grupo,date,Hora_UTC,home_team,away_team,city,country,temp_mean,precip_sum,wind_max,climate_stress,climate_risk,home_win_prob,draw_prob,away_win_prob,expected_total_goals,climate_adjusted_goal_diff
A,2026-06-11,13:00 UTC-6,Mexico,South Africa,Mexico City,Mexico,19.783333333333335,2.6,18.666666666666668,0.10490740740740742,bajo,0.6776487431110862,0.23888333333333334,0.08346792355558039,2.616074074074074,1.3375261522633741
A,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Guadalajara,Mexico,24.8,2.066666666666667,19.650000000000002,0.21250000000000008,bajo,0.5001025502810093,0.25825000000000004,0.2416474497189907,2.5300000000000002,0.4436733333333332
B,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,Toronto,Canada,17.816666666666666,7.033333333333332,20.900000000000002,0.2959722222222222,medio,0.5854872766334207,0.273275,0.14123772336657933,2.4632222222222224,0.8357673333333338
D,2026-06-12,18:00 UTC-7,USA,Paraguay,Los Angeles,United States,20.233333333333334,0.16666666666666666,16.8,0.0062499999999999995,bajo,0.6264729292728781,0.221125,0.15240207072712186,2.6950000000000003,0.9400329166666673
B,2026-06-13,12:00 UTC-7,Qatar,Switzerland,San Francisco Bay Area,United States,18.3,0.016666666666666666,23.516666666666666,0.06192129629629629,bajo,0.12698311194872425,0.23114583333333333,0.6418710547179424,2.6504629629629632,-1.053466718106996
D,2026-06-13,21:00 UTC-7,Australia,Turkey,Vancouver,Canada,14.25,3.283333333333333,18.266666666666666,0.12608796296296293,bajo,0.34972588899570606,0.24269583333333333,0.40757827767096066,2.59912962962963,-0.09690836471193359
C,2026-06-13,18:00 UTC-4,Brazil,Morocco,New York/New Jersey,United States,21.316666666666666,1.95,18.55,0.07923611111111112,bajo,0.39130644896548505,0.2342625,0.3744310510345149,2.6366111111111112,0.028457424382717075
C,2026-06-13,21:00 UTC-4,Haiti,Scotland,Boston,United States,19.866666666666667,2.6166666666666667,20.633333333333333,0.12738425925925925,bajo,0.11478233318521734,0.24292916666666667,0.642288500148116,2.5980925925925926,-1.0895051481481475
F,2026-06-14,20:00 UTC-6,Sweden,Tunisia,Monterrey,Mexico,28.5,0.2333333333333333,17.866666666666667,0.2795833333333333,medio,0.41277803856132766,0.270325,0.3168969614386724,2.4763333333333337,0.15651470370370382
F,2026-06-14,15:00 UTC-5,Netherlands,Japan,Dallas,United States,27.71666666666667,3.9333333333333336,18.099999999999998,0.38680555555555557,medio,0.4919599259516002,0.289625,0.21841507404839974,2.3905555555555558,0.4575770370370362
E,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,Philadelphia,United States,22.233333333333334,4.966666666666667,19.466666666666665,0.21226851851851855,bajo,0.27744650825754813,0.2582083333333333,0.4643451584091185,2.5301851851851853,-0.3141817901234566
E,2026-06-14,12:00 UTC-5,Germany,Curaçao,Houston,United States,27.95,2.8666666666666667,17.650000000000002,0.35541666666666666,medio,0.6975471969371521,0.283975,0.018477803062848,2.4156666666666666,2.0765285555555546
G,2026-06-15,18:00 UTC-7,Iran,New Zealand,Los Angeles,United States,21.75,0.06666666666666667,16.516666666666666,0.0025,bajo,0.7340593611378653,0.22045,0.0454906388621347,2.6980000000000004,1.8522015
G,2026-06-15,12:00 UTC-7,Belgium,Egypt,Seattle,United States,14.233333333333334,2.533333333333333,18.95,0.10555555555555554,bajo,0.6139234049236998,0.239,0.14707659507630022,2.615555555555556,0.91238975308642
H,2026-06-15,18:00 UTC-4,Saudi Arabia,Uruguay,Miami,United States,26.900000000000002,6.283333333333332,15.266666666666666,0.4397916666666667,medio,0.07666373628100664,0.2991625,0.6241737637189934,2.3481666666666667,-1.1520684999999993
H,2026-06-15,12:00 UTC-4,Spain,Cape Verde,Atlanta,United States,24.883333333333336,4.3500000000000005,18.150000000000002,0.28493055555555574,medio,0.7184868688158825,0.2712875,0.010225631184117406,2.4720555555555555,2.511741078703703
